syn_id,specimen_type,organ,tissue,nucleic_acid_source,cell_type,is_post_mortem,data_type,file_format,assay_type,is_multi_specimen
syn833897510,specimen_type_C,organ_B,tissue_B,nucleic_acid_source_D,cell_type_C,true,data_type_B,file_format_D,assay_type_C,false
syn287377898,specimen_type_D,organ_A,tissue_D,nucleic_acid_source_A,cell_type_B,false,data_type_D,file_format_C,assay_type_B,false
syn880710709,specimen_type_A,organ_D,tissue_D,nucleic_acid_source_D,cell_type_C,false,data_type_D,file_format_D,assay_type_A,false
syn412533970,specimen_type_B,organ_C,tissue_B,nucleic_acid_source_B,cell_type_D,true,data_type_C,file_format_C,assay_type_A,false
syn352051342,specimen_type_D,organ_C,tissue_B,nucleic_acid_source_A,cell_type_A,false,data_type_D,file_format_D,assay_type_A,false
syn208711798,specimen_type_D,organ_D,tissue_B,nucleic_acid_source_D,cell_type_D,false,data_type_D,file_format_C,assay_type_B,true
syn380413783,specimen_type_D,organ_A,tissue_C,nucleic_acid_source_D,cell_type_B,false,data_type_A,file_format_B,assay_type_C,false
syn335519855,specimen_type_D,organ_D,tissue_A,nucleic_acid_source_C,cell_type_D,true,data_type_C,file_format_C,assay_type_C,true
syn953588723,specimen_type_B,organ_B,tissue_C,nucleic_acid_source_D,cell_type_B,false,data_type_A,file_format_A,assay_type_C,false
syn126064976,specimen_type_C,organ_C,tissue_B,nucleic_acid_source_B,cell_type_D,false,data_type_B,file_format_A,assay_type_B,false
syn107328009,specimen_type_D,organ_C,tissue_B,nucleic_acid_source_A,cell_type_D,false,data_type_D,file_format_A,assay_type_B,true
syn881727684,specimen_type_A,organ_B,tissue_A,nucleic_acid_source_C,cell_type_D,false,data_type_A,file_format_B,assay_type_B,false
syn618920533,specimen_type_C,organ_D,tissue_B,nucleic_acid_source_A,cell_type_B,false,data_type_C,file_format_A,assay_type_C,true
syn354251066,specimen_type_B,organ_D,tissue_D,nucleic_acid_source_A,cell_type_D,false,data_type_C,file_format_C,assay_type_B,false
syn611994664,specimen_type_A,organ_B,tissue_B,nucleic_acid_source_A,cell_type_D,false,data_type_D,file_format_A,assay_type_A,false
syn486054177,specimen_type_C,organ_D,tissue_C,nucleic_acid_source_C,cell_type_A,true,data_type_A,file_format_A,assay_type_B,false
syn873750453,specimen_type_B,organ_C,tissue_A,nucleic_acid_source_D,cell_type_B,false,data_type_B,file_format_D,assay_type_A,true
syn974094504,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_A,cell_type_A,true,data_type_B,file_format_B,assay_type_B,false
syn870132064,specimen_type_B,organ_A,tissue_D,nucleic_acid_source_D,cell_type_D,true,data_type_A,file_format_A,assay_type_B,true
syn482066133,specimen_type_C,organ_A,tissue_D,nucleic_acid_source_A,cell_type_A,false,data_type_C,file_format_C,assay_type_C,false
syn323036573,specimen_type_C,organ_B,tissue_D,nucleic_acid_source_C,cell_type_D,false,data_type_D,file_format_C,assay_type_C,false
syn81483893,specimen_type_C,organ_C,tissue_A,nucleic_acid_source_A,cell_type_C,false,data_type_A,file_format_C,assay_type_C,false
syn566593412,specimen_type_B,organ_B,tissue_D,nucleic_acid_source_A,cell_type_D,true,data_type_B,file_format_C,assay_type_D,true
syn558515636,specimen_type_C,organ_A,tissue_B,nucleic_acid_source_D,cell_type_B,false,data_type_C,file_format_D,assay_type_A,false
syn782901023,specimen_type_D,organ_C,tissue_A,nucleic_acid_source_D,cell_type_B,true,data_type_A,file_format_C,assay_type_D,false
syn834893372,specimen_type_A,organ_C,tissue_B,nucleic_acid_source_C,cell_type_B,true,data_type_C,file_format_D,assay_type_B,false
syn105513356,specimen_type_C,organ_C,tissue_D,nucleic_acid_source_D,cell_type_D,false,data_type_A,file_format_C,assay_type_B,false
syn876397053,specimen_type_C,organ_B,tissue_C,nucleic_acid_source_D,cell_type_A,false,data_type_C,file_format_B,assay_type_B,false
syn380697848,specimen_type_C,organ_D,tissue_D,nucleic_acid_source_A,cell_type_D,true,data_type_B,file_format_C,assay_type_B,false
syn713605172,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_D,cell_type_A,true,data_type_B,file_format_A,assay_type_D,false
syn49948796,specimen_type_C,organ_B,tissue_C,nucleic_acid_source_A,cell_type_D,true,data_type_A,file_format_B,assay_type_B,false
syn535208374,specimen_type_D,organ_A,tissue_C,nucleic_acid_source_D,cell_type_D,false,data_type_B,file_format_D,assay_type_C,false
syn571727148,specimen_type_D,organ_C,tissue_D,nucleic_acid_source_D,cell_type_D,false,data_type_A,file_format_A,assay_type_C,false
syn379997330,specimen_type_B,organ_A,tissue_C,nucleic_acid_source_A,cell_type_D,false,data_type_B,file_format_B,assay_type_D,true
syn3137358,specimen_type_C,organ_D,tissue_C,nucleic_acid_source_D,cell_type_B,true,data_type_D,file_format_C,assay_type_B,false
syn96290614,specimen_type_B,organ_A,tissue_D,nucleic_acid_source_D,cell_type_C,false,data_type_D,file_format_B,assay_type_D,false
syn122168761,specimen_type_B,organ_C,tissue_A,nucleic_acid_source_A,cell_type_A,false,data_type_C,file_format_D,assay_type_A,false
syn289431829,specimen_type_A,organ_D,tissue_D,nucleic_acid_source_C,cell_type_A,false,data_type_D,file_format_B,assay_type_B,false
syn990399217,specimen_type_B,organ_C,tissue_D,nucleic_acid_source_A,cell_type_C,false,data_type_B,file_format_A,assay_type_B,false
syn611455169,specimen_type_D,organ_C,tissue_A,nucleic_acid_source_D,cell_type_B,false,data_type_D,file_format_C,assay_type_C,false
syn833716636,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_A,cell_type_B,true,data_type_D,file_format_B,assay_type_C,false
syn587586139,specimen_type_C,organ_B,tissue_B,nucleic_acid_source_A,cell_type_A,false,data_type_A,file_format_B,assay_type_A,false
syn961277245,specimen_type_B,organ_D,tissue_D,nucleic_acid_source_C,cell_type_A,true,data_type_A,file_format_D,assay_type_D,false
syn740821736,specimen_type_B,organ_A,tissue_A,nucleic_acid_source_A,cell_type_A,false,data_type_C,file_format_D,assay_type_C,true
syn106041953,specimen_type_B,organ_D,tissue_C,nucleic_acid_source_A,cell_type_B,false,data_type_A,file_format_A,assay_type_A,false
syn557003911,specimen_type_C,organ_D,tissue_D,nucleic_acid_source_D,cell_type_C,true,data_type_D,file_format_B,assay_type_B,false
syn720938567,specimen_type_C,organ_C,tissue_A,nucleic_acid_source_C,cell_type_B,true,data_type_C,file_format_C,assay_type_D,false
syn999276880,specimen_type_B,organ_C,tissue_D,nucleic_acid_source_B,cell_type_A,false,data_type_D,file_format_A,assay_type_C,false
syn238623456,specimen_type_C,organ_D,tissue_A,nucleic_acid_source_A,cell_type_C,true,data_type_C,file_format_A,assay_type_A,false
syn390996954,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_B,cell_type_D,false,data_type_B,file_format_C,assay_type_D,false
syn548933034,specimen_type_C,organ_C,tissue_A,nucleic_acid_source_D,cell_type_B,false,data_type_C,file_format_C,assay_type_B,false
syn568874375,specimen_type_D,organ_A,tissue_B,nucleic_acid_source_D,cell_type_C,false,data_type_C,file_format_D,assay_type_B,false
syn404803762,specimen_type_B,organ_B,tissue_A,nucleic_acid_source_C,cell_type_C,false,data_type_D,file_format_A,assay_type_C,false
syn859137537,specimen_type_D,organ_B,tissue_A,nucleic_acid_source_A,cell_type_B,false,data_type_D,file_format_A,assay_type_D,false
syn209471754,specimen_type_B,organ_D,tissue_B,nucleic_acid_source_B,cell_type_C,false,data_type_D,file_format_D,assay_type_B,true
syn171387261,specimen_type_C,organ_C,tissue_D,nucleic_acid_source_C,cell_type_D,false,data_type_A,file_format_C,assay_type_C,false
syn150370800,specimen_type_C,organ_C,tissue_B,nucleic_acid_source_A,cell_type_D,true,data_type_D,file_format_B,assay_type_A,false
syn878607674,specimen_type_C,organ_A,tissue_D,nucleic_acid_source_A,cell_type_B,false,data_type_C,file_format_C,assay_type_D,false
syn817241376,specimen_type_B,organ_B,tissue_D,nucleic_acid_source_B,cell_type_C,true,data_type_C,file_format_C,assay_type_A,false
syn857316112,specimen_type_A,organ_A,tissue_D,nucleic_acid_source_C,cell_type_C,false,data_type_B,file_format_C,assay_type_D,false
syn770451545,specimen_type_D,organ_A,tissue_D,nucleic_acid_source_B,cell_type_D,false,data_type_C,file_format_A,assay_type_C,false
syn690634197,specimen_type_C,organ_A,tissue_C,nucleic_acid_source_A,cell_type_B,false,data_type_C,file_format_D,assay_type_A,false
syn666294384,specimen_type_B,organ_D,tissue_B,nucleic_acid_source_A,cell_type_C,true,data_type_C,file_format_C,assay_type_A,false
syn368892640,specimen_type_D,organ_C,tissue_C,nucleic_acid_source_D,cell_type_C,false,data_type_A,file_format_C,assay_type_B,false
syn508347336,specimen_type_D,organ_B,tissue_A,nucleic_acid_source_C,cell_type_C,false,data_type_B,file_format_B,assay_type_B,false
syn584457029,specimen_type_B,organ_A,tissue_D,nucleic_acid_source_B,cell_type_C,false,data_type_D,file_format_D,assay_type_B,false
syn48502548,specimen_type_A,organ_D,tissue_C,nucleic_acid_source_A,cell_type_D,false,data_type_D,file_format_B,assay_type_D,false
syn866622595,specimen_type_B,organ_D,tissue_C,nucleic_acid_source_C,cell_type_A,false,data_type_D,file_format_A,assay_type_B,false
syn256157156,specimen_type_B,organ_A,tissue_D,nucleic_acid_source_D,cell_type_A,false,data_type_B,file_format_A,assay_type_B,false
syn885479014,specimen_type_C,organ_C,tissue_C,nucleic_acid_source_B,cell_type_B,false,data_type_D,file_format_B,assay_type_C,false
syn138019692,specimen_type_A,organ_A,tissue_D,nucleic_acid_source_C,cell_type_C,true,data_type_C,file_format_D,assay_type_C,false
syn626231732,specimen_type_D,organ_C,tissue_A,nucleic_acid_source_C,cell_type_A,false,data_type_A,file_format_D,assay_type_D,false
syn903660146,specimen_type_B,organ_A,tissue_A,nucleic_acid_source_B,cell_type_A,false,data_type_D,file_format_B,assay_type_D,false
syn700897887,specimen_type_C,organ_C,tissue_D,nucleic_acid_source_B,cell_type_A,false,data_type_B,file_format_B,assay_type_B,false
syn127222470,specimen_type_C,organ_B,tissue_B,nucleic_acid_source_A,cell_type_C,true,data_type_C,file_format_B,assay_type_D,false
syn216021067,specimen_type_A,organ_A,tissue_B,nucleic_acid_source_B,cell_type_A,false,data_type_A,file_format_D,assay_type_D,false
syn81611692,specimen_type_B,organ_B,tissue_A,nucleic_acid_source_C,cell_type_A,false,data_type_A,file_format_A,assay_type_B,false
syn151244642,specimen_type_C,organ_D,tissue_B,nucleic_acid_source_D,cell_type_C,false,data_type_D,file_format_D,assay_type_A,false
syn411591026,specimen_type_A,organ_C,tissue_B,nucleic_acid_source_B,cell_type_C,false,data_type_B,file_format_C,assay_type_B,false
syn706455654,specimen_type_C,organ_B,tissue_D,nucleic_acid_source_A,cell_type_C,true,data_type_C,file_format_A,assay_type_C,false
syn935967505,specimen_type_B,organ_B,tissue_C,nucleic_acid_source_A,cell_type_A,true,data_type_A,file_format_B,assay_type_D,false
syn508359475,specimen_type_C,organ_A,tissue_B,nucleic_acid_source_A,cell_type_A,false,data_type_A,file_format_D,assay_type_D,false
syn508116857,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_B,cell_type_C,false,data_type_B,file_format_A,assay_type_B,false
syn560748063,specimen_type_C,organ_A,tissue_B,nucleic_acid_source_B,cell_type_B,false,data_type_D,file_format_A,assay_type_B,false
syn808191679,specimen_type_C,organ_B,tissue_C,nucleic_acid_source_B,cell_type_D,false,data_type_D,file_format_D,assay_type_D,false
syn996071143,specimen_type_B,organ_A,tissue_D,nucleic_acid_source_D,cell_type_C,false,data_type_D,file_format_C,assay_type_B,false
syn540874858,specimen_type_A,organ_D,tissue_B,nucleic_acid_source_C,cell_type_D,false,data_type_B,file_format_D,assay_type_A,false
syn296128049,specimen_type_A,organ_B,tissue_C,nucleic_acid_source_A,cell_type_C,false,data_type_D,file_format_A,assay_type_C,false
syn406419251,specimen_type_C,organ_A,tissue_D,nucleic_acid_source_A,cell_type_C,false,data_type_D,file_format_B,assay_type_B,false
syn163480027,specimen_type_C,organ_C,tissue_C,nucleic_acid_source_A,cell_type_C,false,data_type_A,file_format_A,assay_type_B,false
syn460462219,specimen_type_A,organ_B,tissue_B,nucleic_acid_source_B,cell_type_B,false,data_type_A,file_format_A,assay_type_B,true
syn943463387,specimen_type_B,organ_D,tissue_A,nucleic_acid_source_C,cell_type_B,false,data_type_B,file_format_A,assay_type_C,true
syn520724476,specimen_type_A,organ_A,tissue_C,nucleic_acid_source_A,cell_type_C,false,data_type_A,file_format_C,assay_type_B,false
syn843564200,specimen_type_C,organ_A,tissue_C,nucleic_acid_source_C,cell_type_B,true,data_type_D,file_format_D,assay_type_C,false
syn444250271,specimen_type_D,organ_D,tissue_A,nucleic_acid_source_D,cell_type_C,true,data_type_D,file_format_C,assay_type_A,false
syn632257973,specimen_type_B,organ_A,tissue_A,nucleic_acid_source_D,cell_type_B,true,data_type_D,file_format_B,assay_type_C,false
syn86883121,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_D,cell_type_C,false,data_type_C,file_format_C,assay_type_D,true
syn3287338,specimen_type_D,organ_B,tissue_A,nucleic_acid_source_B,cell_type_A,false,data_type_D,file_format_C,assay_type_A,false
syn492796660,specimen_type_A,organ_D,tissue_C,nucleic_acid_source_D,cell_type_D,false,data_type_D,file_format_D,assay_type_A,false
syn729402319,specimen_type_D,organ_A,tissue_D,nucleic_acid_source_B,cell_type_A,false,data_type_A,file_format_C,assay_type_A,false
syn65876721,specimen_type_B,organ_D,tissue_A,nucleic_acid_source_C,cell_type_B,true,data_type_C,file_format_B,assay_type_A,false
syn525170070,specimen_type_C,organ_A,tissue_A,nucleic_acid_source_C,cell_type_C,true,data_type_A,file_format_C,assay_type_D,false
syn64419258,specimen_type_B,organ_B,tissue_B,nucleic_acid_source_A,cell_type_C,false,data_type_D,file_format_D,assay_type_D,false
syn926202655,specimen_type_D,organ_D,tissue_A,nucleic_acid_source_A,cell_type_C,false,data_type_A,file_format_C,assay_type_B,false
syn678866578,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_A,cell_type_B,false,data_type_A,file_format_D,assay_type_A,false
syn860160242,specimen_type_A,organ_B,tissue_B,nucleic_acid_source_C,cell_type_C,false,data_type_C,file_format_D,assay_type_A,true
syn643109965,specimen_type_D,organ_A,tissue_D,nucleic_acid_source_C,cell_type_C,false,data_type_A,file_format_B,assay_type_C,false
syn742710509,specimen_type_B,organ_C,tissue_A,nucleic_acid_source_D,cell_type_D,false,data_type_B,file_format_D,assay_type_A,false
syn957572481,specimen_type_C,organ_C,tissue_C,nucleic_acid_source_A,cell_type_D,false,data_type_A,file_format_D,assay_type_C,false
syn448710529,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_A,cell_type_D,false,data_type_C,file_format_C,assay_type_A,false
syn312119043,specimen_type_D,organ_D,tissue_C,nucleic_acid_source_B,cell_type_B,true,data_type_C,file_format_B,assay_type_B,false
syn186481963,specimen_type_C,organ_A,tissue_B,nucleic_acid_source_D,cell_type_A,true,data_type_D,file_format_B,assay_type_C,false
syn340580175,specimen_type_C,organ_B,tissue_A,nucleic_acid_source_B,cell_type_B,true,data_type_D,file_format_D,assay_type_C,false
syn829190314,specimen_type_B,organ_D,tissue_C,nucleic_acid_source_B,cell_type_A,false,data_type_D,file_format_D,assay_type_C,false
syn128582308,specimen_type_A,organ_C,tissue_A,nucleic_acid_source_D,cell_type_C,false,data_type_C,file_format_D,assay_type_C,false
syn598537434,specimen_type_A,organ_B,tissue_D,nucleic_acid_source_C,cell_type_D,true,data_type_D,file_format_B,assay_type_A,true
syn609084156,specimen_type_B,organ_B,tissue_C,nucleic_acid_source_C,cell_type_D,false,data_type_B,file_format_C,assay_type_D,false
syn991077210,specimen_type_B,organ_C,tissue_A,nucleic_acid_source_D,cell_type_C,false,data_type_B,file_format_A,assay_type_B,false
syn387862092,specimen_type_B,organ_D,tissue_C,nucleic_acid_source_B,cell_type_C,false,data_type_B,file_format_A,assay_type_A,false
syn452295144,specimen_type_D,organ_A,tissue_B,nucleic_acid_source_D,cell_type_D,false,data_type_B,file_format_C,assay_type_A,false
syn272260428,specimen_type_D,organ_A,tissue_B,nucleic_acid_source_A,cell_type_C,false,data_type_D,file_format_A,assay_type_D,false
syn119046754,specimen_type_C,organ_B,tissue_C,nucleic_acid_source_B,cell_type_B,true,data_type_C,file_format_C,assay_type_C,false
syn986264398,specimen_type_C,organ_D,tissue_A,nucleic_acid_source_D,cell_type_D,false,data_type_C,file_format_B,assay_type_A,true
syn798682037,specimen_type_C,organ_D,tissue_C,nucleic_acid_source_A,cell_type_A,false,data_type_D,file_format_B,assay_type_C,true
syn401248032,specimen_type_A,organ_D,tissue_A,nucleic_acid_source_B,cell_type_A,true,data_type_D,file_format_D,assay_type_A,false
syn491019087,specimen_type_B,organ_C,tissue_B,nucleic_acid_source_A,cell_type_A,false,data_type_C,file_format_C,assay_type_A,true
syn588141090,specimen_type_B,organ_C,tissue_C,nucleic_acid_source_C,cell_type_B,true,data_type_C,file_format_C,assay_type_A,true
syn664475233,specimen_type_A,organ_B,tissue_C,nucleic_acid_source_C,cell_type_A,false,data_type_B,file_format_D,assay_type_B,false
syn303452057,specimen_type_A,organ_A,tissue_C,nucleic_acid_source_B,cell_type_A,false,data_type_B,file_format_A,assay_type_B,false
syn175923109,specimen_type_B,organ_D,tissue_A,nucleic_acid_source_B,cell_type_C,false,data_type_C,file_format_A,assay_type_C,false
syn604439359,specimen_type_C,organ_D,tissue_B,nucleic_acid_source_A,cell_type_B,false,data_type_A,file_format_C,assay_type_A,false
syn186760223,specimen_type_B,organ_C,tissue_D,nucleic_acid_source_D,cell_type_A,true,data_type_C,file_format_C,assay_type_C,false
syn632985014,specimen_type_C,organ_A,tissue_B,nucleic_acid_source_D,cell_type_B,true,data_type_C,file_format_D,assay_type_B,false
syn341181955,specimen_type_C,organ_B,tissue_A,nucleic_acid_source_D,cell_type_C,false,data_type_D,file_format_B,assay_type_A,false
syn664071255,specimen_type_D,organ_A,tissue_D,nucleic_acid_source_C,cell_type_D,false,data_type_B,file_format_D,assay_type_B,false
syn842226501,specimen_type_C,organ_B,tissue_B,nucleic_acid_source_D,cell_type_C,false,data_type_D,file_format_D,assay_type_B,false
syn767169984,specimen_type_B,organ_A,tissue_B,nucleic_acid_source_D,cell_type_D,false,data_type_B,file_format_D,assay_type_B,false
syn986189267,specimen_type_D,organ_D,tissue_A,nucleic_acid_source_A,cell_type_B,false,data_type_C,file_format_A,assay_type_C,false
syn953974589,specimen_type_B,organ_D,tissue_C,nucleic_acid_source_B,cell_type_C,false,data_type_C,file_format_A,assay_type_C,false
syn221205085,specimen_type_C,organ_C,tissue_B,nucleic_acid_source_A,cell_type_B,false,data_type_D,file_format_D,assay_type_A,false
syn281118477,specimen_type_B,organ_B,tissue_B,nucleic_acid_source_B,cell_type_C,false,data_type_D,file_format_A,assay_type_D,false
syn885969840,specimen_type_D,organ_A,tissue_C,nucleic_acid_source_A,cell_type_D,true,data_type_D,file_format_A,assay_type_D,false
syn121531202,specimen_type_A,organ_D,tissue_A,nucleic_acid_source_B,cell_type_A,false,data_type_B,file_format_D,assay_type_A,false
syn775146530,specimen_type_C,organ_B,tissue_A,nucleic_acid_source_B,cell_type_B,false,data_type_A,file_format_A,assay_type_A,false
syn529599983,specimen_type_D,organ_D,tissue_B,nucleic_acid_source_D,cell_type_B,true,data_type_A,file_format_C,assay_type_C,false
syn763204436,specimen_type_B,organ_B,tissue_C,nucleic_acid_source_B,cell_type_B,false,data_type_A,file_format_C,assay_type_C,true
syn638134290,specimen_type_D,organ_A,tissue_C,nucleic_acid_source_A,cell_type_D,true,data_type_D,file_format_D,assay_type_D,false
syn407694958,specimen_type_C,organ_A,tissue_A,nucleic_acid_source_C,cell_type_D,true,data_type_C,file_format_B,assay_type_C,true
syn204417839,specimen_type_C,organ_D,tissue_D,nucleic_acid_source_A,cell_type_C,false,data_type_A,file_format_A,assay_type_D,false
syn297323793,specimen_type_B,organ_D,tissue_D,nucleic_acid_source_C,cell_type_B,false,data_type_D,file_format_C,assay_type_D,false
syn677332461,specimen_type_C,organ_C,tissue_A,nucleic_acid_source_D,cell_type_A,false,data_type_B,file_format_A,assay_type_C,false
syn778071677,specimen_type_B,organ_B,tissue_A,nucleic_acid_source_B,cell_type_B,true,data_type_D,file_format_C,assay_type_C,false
syn185147048,specimen_type_A,organ_A,tissue_D,nucleic_acid_source_B,cell_type_A,false,data_type_D,file_format_D,assay_type_B,false
syn188403573,specimen_type_B,organ_B,tissue_C,nucleic_acid_source_B,cell_type_B,false,data_type_B,file_format_C,assay_type_B,true
syn241015721,specimen_type_A,organ_A,tissue_A,nucleic_acid_source_D,cell_type_D,false,data_type_B,file_format_A,assay_type_D,false
syn907867597,specimen_type_A,organ_D,tissue_B,nucleic_acid_source_B,cell_type_B,false,data_type_B,file_format_C,assay_type_D,false
syn981541489,specimen_type_C,organ_A,tissue_D,nucleic_acid_source_D,cell_type_D,false,data_type_C,file_format_A,assay_type_A,false
syn972400521,specimen_type_C,organ_C,tissue_B,nucleic_acid_source_A,cell_type_B,true,data_type_A,file_format_A,assay_type_A,false
syn618784131,specimen_type_D,organ_A,tissue_D,nucleic_acid_source_B,cell_type_C,false,data_type_B,file_format_C,assay_type_C,false
syn287294832,specimen_type_D,organ_A,tissue_D,nucleic_acid_source_C,cell_type_A,false,data_type_D,file_format_B,assay_type_B,false
syn674408935,specimen_type_C,organ_D,tissue_A,nucleic_acid_source_D,cell_type_B,false,data_type_D,file_format_A,assay_type_A,false
syn544478913,specimen_type_A,organ_D,tissue_C,nucleic_acid_source_D,cell_type_B,false,data_type_C,file_format_C,assay_type_A,false
syn146998490,specimen_type_A,organ_B,tissue_A,nucleic_acid_source_A,cell_type_D,true,data_type_B,file_format_C,assay_type_C,true
syn373249433,specimen_type_A,organ_C,tissue_C,nucleic_acid_source_B,cell_type_A,false,data_type_B,file_format_A,assay_type_A,true
syn316601179,specimen_type_D,organ_D,tissue_A,nucleic_acid_source_A,cell_type_B,true,data_type_C,file_format_D,assay_type_D,false
syn54144024,specimen_type_D,organ_C,tissue_B,nucleic_acid_source_B,cell_type_C,true,data_type_C,file_format_D,assay_type_C,false
syn565025711,specimen_type_B,organ_C,tissue_C,nucleic_acid_source_B,cell_type_C,false,data_type_B,file_format_B,assay_type_D,false
syn530374244,specimen_type_A,organ_B,tissue_A,nucleic_acid_source_C,cell_type_B,false,data_type_A,file_format_A,assay_type_A,false
syn252730023,specimen_type_D,organ_A,tissue_B,nucleic_acid_source_C,cell_type_C,false,data_type_A,file_format_C,assay_type_A,true
syn64820641,specimen_type_A,organ_B,tissue_B,nucleic_acid_source_B,cell_type_D,true,data_type_C,file_format_C,assay_type_B,true
syn125341850,specimen_type_C,organ_D,tissue_A,nucleic_acid_source_B,cell_type_C,false,data_type_C,file_format_D,assay_type_D,false
syn104739690,specimen_type_C,organ_C,tissue_D,nucleic_acid_source_D,cell_type_A,false,data_type_D,file_format_B,assay_type_B,false
syn938226617,specimen_type_D,organ_A,tissue_A,nucleic_acid_source_A,cell_type_B,false,data_type_A,file_format_B,assay_type_D,true
syn879745161,specimen_type_C,organ_C,tissue_B,nucleic_acid_source_A,cell_type_D,false,data_type_D,file_format_A,assay_type_D,false
syn978136324,specimen_type_B,organ_D,tissue_B,nucleic_acid_source_B,cell_type_B,false,data_type_B,file_format_C,assay_type_B,false
syn921672691,specimen_type_D,organ_D,tissue_A,nucleic_acid_source_C,cell_type_C,false,data_type_B,file_format_D,assay_type_A,false
syn471780180,specimen_type_B,organ_C,tissue_A,nucleic_acid_source_B,cell_type_A,false,data_type_C,file_format_C,assay_type_C,false
