syn_id,file_name,data_type,assay_type,file_format,is_multi_specimen,file_size_bytes,study_code
syn816732690,cohort_scrnaseq_000158.bam,gene expression,scRNAseq,BAM,true,3104492460,HSDOA
syn487657199,cohort_wgs_000159.cram,variant calls,WGS,CRAM,true,57067011332,ILO
syn446313654,cohort_wgs_000160.cram,variant calls,WGS,CRAM,true,99663134285,HSDOA
syn471292764,cohort_scrnaseq_000161.fastq.gz,gene expression,scRNAseq,FASTQ,true,2953603937,LLFS
syn802901008,cohort_rnaseq_000162.fastq.gz,gene expression,RNAseq,FASTQ,true,4076115227,CDCP
syn711565857,cohort_proteomics_000163.mzML,protein abundance,proteomics,mzML,true,1262181903,ASDOEL
syn544508318,cohort_metabolomics_000164.mzML,metabolite levels,metabolomics,mzML,true,1829355690,ASDOEL
syn740318186,cohort_methylation_array_000165.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,498976111,CDCP
syn163624679,cohort_wes_000166.vcf.gz,variant calls,WES,VCF,true,1701084497,LLFS
syn899240533,cohort_wgs_000167.vcf.gz,variant calls,WGS,VCF,true,46208546328,ASDOEL
syn981984184,cohort_scrnaseq_000168.bam,gene expression,scRNAseq,BAM,true,1370021360,HSDOA
syn55084038,cohort_rnaseq_000169.fastq.gz,gene expression,RNAseq,FASTQ,true,3330623012,LLFS
syn379623445,cohort_wgs_000170.fastq.gz,variant calls,WGS,FASTQ,true,149392354795,LC
syn325948245,cohort_wgs_000171.fastq.gz,variant calls,WGS,FASTQ,true,11566413326,CDCP
syn935648231,cohort_wes_000172.bam,variant calls,WES,BAM,true,5080232163,ILO
syn17698167,cohort_rnaseq_000173.bam,gene expression,RNAseq,BAM,true,4358571553,HSDOA
syn487755400,cohort_scrnaseq_000174.fastq.gz,gene expression,scRNAseq,FASTQ,true,1713047497,LLFS
syn986648498,cohort_proteomics_000175.mzML,protein abundance,proteomics,mzML,true,1693051681,LC
syn510691142,cohort_scrnaseq_000176.fastq.gz,gene expression,scRNAseq,FASTQ,true,3224253120,ASDOEL
syn833966425,cohort_wes_000177.fastq.gz,variant calls,WES,FASTQ,true,10839884538,LLFS
syn836543692,cohort_rnaseq_000178.bam,gene expression,RNAseq,BAM,true,5665062421,LG
syn954404665,cohort_wgs_000179.cram,variant calls,WGS,CRAM,true,145933567931,LC
syn856275203,cohort_rnaseq_000180.counts.csv,gene expression,RNAseq,processed counts (CSV),true,3395382342,LG
syn164426343,cohort_wes_000181.vcf.gz,variant calls,WES,VCF,true,14690323501,LC
syn486022719,cohort_wes_000182.bam,variant calls,WES,BAM,true,4905282238,ASDOEL
syn566055324,cohort_methylation_array_000183.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,357872878,LG
syn5576894,cohort_metabolomics_000184.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,1561647125,LG
syn338271593,cohort_wes_000185.fastq.gz,variant calls,WES,FASTQ,true,4100302785,LC
syn490483944,cohort_wes_000186.vcf.gz,variant calls,WES,VCF,true,13891420155,HSDOA
syn218122858,cohort_rnaseq_000187.bam,gene expression,RNAseq,BAM,true,3510654970,LC
syn669481772,cohort_metabolomics_000188.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,961550824,CDCP
syn482028347,cohort_wes_000189.bam,variant calls,WES,BAM,true,7418261324,LC
syn860832729,cohort_wes_000190.vcf.gz,variant calls,WES,VCF,true,14444690298,LLFS
syn871251225,cohort_wgs_000191.vcf.gz,variant calls,WGS,VCF,true,46542413556,ILO
syn508465488,cohort_methylation_array_000192.idat,DNA methylation,methylation array,IDAT,true,188915165,LLFS
syn202514446,cohort_metabolomics_000193.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,1780692163,LC
syn534678908,cohort_methylation_array_000194.idat,DNA methylation,methylation array,IDAT,true,992124137,LLFS
syn834235462,cohort_wgs_000195.vcf.gz,variant calls,WGS,VCF,true,112265031944,CDCP
syn342889188,cohort_wes_000196.fastq.gz,variant calls,WES,FASTQ,true,16152294942,ILO
syn699211953,cohort_rnaseq_000197.fastq.gz,gene expression,RNAseq,FASTQ,true,4374882631,CDCP
syn173616281,cohort_rnaseq_000198.fastq.gz,gene expression,RNAseq,FASTQ,true,7404798763,LLFS
syn403482894,cohort_proteomics_000199.counts.csv,protein abundance,proteomics,processed counts (CSV),true,1733707002,HSDOA
syn268484948,cohort_wes_000200.bam,variant calls,WES,BAM,true,7722549111,LLFS
syn968075271,cohort_methylation_array_000201.idat,DNA methylation,methylation array,IDAT,true,322528042,LLFS
syn801847182,cohort_proteomics_000202.mzML,protein abundance,proteomics,mzML,true,2491607154,ASDOEL
syn200237169,cohort_rnaseq_000203.fastq.gz,gene expression,RNAseq,FASTQ,true,5526438477,ILO
syn693014428,cohort_rnaseq_000204.bam,gene expression,RNAseq,BAM,true,7299739175,CDCP
syn317559263,cohort_wgs_000205.vcf.gz,variant calls,WGS,VCF,true,35225043319,ILO
syn82533866,cohort_wgs_000206.fastq.gz,variant calls,WGS,FASTQ,true,30688880534,ILO
syn539576621,cohort_proteomics_000207.mzML,protein abundance,proteomics,mzML,true,4005564070,LG
syn284536214,cohort_proteomics_000208.mzML,protein abundance,proteomics,mzML,true,3448185964,HSDOA
syn145795014,cohort_rnaseq_000209.bam,gene expression,RNAseq,BAM,true,4504017115,HSDOA
syn268766587,cohort_wes_000210.bam,variant calls,WES,BAM,true,4778611859,LLFS
syn472288322,cohort_wgs_000211.fastq.gz,variant calls,WGS,FASTQ,true,79366168674,LG
syn702373691,cohort_metabolomics_000212.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,1693235935,LG
syn315058107,cohort_proteomics_000213.mzML,protein abundance,proteomics,mzML,true,4595441277,CDCP
syn131667314,cohort_wes_000214.fastq.gz,variant calls,WES,FASTQ,true,4510360463,LG
syn177640731,cohort_wes_000215.fastq.gz,variant calls,WES,FASTQ,true,14043399383,ASDOEL
syn302947296,cohort_proteomics_000216.mzML,protein abundance,proteomics,mzML,true,4853281496,ASDOEL
syn637636518,cohort_metabolomics_000217.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,1083693840,ILO
syn570713706,cohort_wes_000218.vcf.gz,variant calls,WES,VCF,true,462802320,HSDOA
syn173495310,cohort_metabolomics_000219.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,1159563960,ASDOEL
syn427054175,cohort_proteomics_000220.counts.csv,protein abundance,proteomics,processed counts (CSV),true,1377979146,HSDOA
syn619061049,cohort_methylation_array_000221.idat,DNA methylation,methylation array,IDAT,true,908647384,HSDOA
syn824647324,cohort_wes_000222.bam,variant calls,WES,BAM,true,13879729183,LLFS
syn716957574,cohort_rnaseq_000223.counts.csv,gene expression,RNAseq,processed counts (CSV),true,3204492309,LG
syn706448905,cohort_wgs_000224.fastq.gz,variant calls,WGS,FASTQ,true,39067814490,CDCP
syn613972767,cohort_wes_000225.bam,variant calls,WES,BAM,true,7972320440,ASDOEL
syn118856066,cohort_metabolomics_000226.mzML,metabolite levels,metabolomics,mzML,true,1251365870,HSDOA
syn222930028,cohort_methylation_array_000227.idat,DNA methylation,methylation array,IDAT,true,553538395,CDCP
syn342076392,cohort_wgs_000228.vcf.gz,variant calls,WGS,VCF,true,110793099619,HSDOA
syn245607185,cohort_rnaseq_000229.fastq.gz,gene expression,RNAseq,FASTQ,true,7533407949,LC
syn437202605,cohort_wgs_000230.cram,variant calls,WGS,CRAM,true,123892068280,HSDOA
syn25953473,cohort_wes_000231.bam,variant calls,WES,BAM,true,4165226167,CDCP
syn220580483,cohort_methylation_array_000232.idat,DNA methylation,methylation array,IDAT,true,937094637,LC
syn819969193,cohort_wgs_000233.fastq.gz,variant calls,WGS,FASTQ,true,40375493702,HSDOA
syn726158477,cohort_proteomics_000234.counts.csv,protein abundance,proteomics,processed counts (CSV),true,206997233,LLFS
syn824965080,cohort_metabolomics_000235.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,69696454,ASDOEL
syn532361261,cohort_rnaseq_000236.counts.csv,gene expression,RNAseq,processed counts (CSV),true,5789453757,CDCP
syn480898948,cohort_rnaseq_000237.counts.csv,gene expression,RNAseq,processed counts (CSV),true,1228754458,LC
syn713643296,cohort_wes_000238.fastq.gz,variant calls,WES,FASTQ,true,13367116086,CDCP
syn352780332,cohort_rnaseq_000239.fastq.gz,gene expression,RNAseq,FASTQ,true,6475973644,ILO
syn147838041,cohort_scrnaseq_000240.counts.csv,gene expression,scRNAseq,processed counts (CSV),true,1131975264,ILO
syn579137185,cohort_wgs_000241.vcf.gz,variant calls,WGS,VCF,true,17474018244,CDCP
syn155770528,cohort_wes_000242.bam,variant calls,WES,BAM,true,12982477884,HSDOA
syn766634082,cohort_rnaseq_000243.bam,gene expression,RNAseq,BAM,true,1590472043,LLFS
syn391586543,cohort_rnaseq_000244.fastq.gz,gene expression,RNAseq,FASTQ,true,3109979914,CDCP
syn901498485,cohort_wes_000245.fastq.gz,variant calls,WES,FASTQ,true,16363307150,LC
syn751178207,cohort_metabolomics_000246.mzML,metabolite levels,metabolomics,mzML,true,189560505,LG
syn98356129,cohort_proteomics_000247.counts.csv,protein abundance,proteomics,processed counts (CSV),true,4724600828,LC
syn210908437,cohort_proteomics_000248.mzML,protein abundance,proteomics,mzML,true,3463584964,LLFS
syn669704792,cohort_rnaseq_000249.counts.csv,gene expression,RNAseq,processed counts (CSV),true,4083172160,CDCP
syn24201767,cohort_wes_000250.fastq.gz,variant calls,WES,FASTQ,true,13656833729,HSDOA
syn677692048,cohort_wgs_000251.vcf.gz,variant calls,WGS,VCF,true,58375219724,ILO
syn201024982,cohort_wgs_000252.fastq.gz,variant calls,WGS,FASTQ,true,72439565212,HSDOA
syn422162830,cohort_methylation_array_000253.idat,DNA methylation,methylation array,IDAT,true,815207108,ILO
syn572771812,cohort_metabolomics_000254.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,95219756,LLFS
syn587848399,cohort_rnaseq_000255.bam,gene expression,RNAseq,BAM,true,1275873686,HSDOA
syn972364639,cohort_wgs_000256.fastq.gz,variant calls,WGS,FASTQ,true,112127462348,LG
syn406150491,cohort_rnaseq_000257.fastq.gz,gene expression,RNAseq,FASTQ,true,7408287582,LG
syn597803210,cohort_wes_000258.bam,variant calls,WES,BAM,true,2647973415,LG
syn121919947,cohort_proteomics_000259.mzML,protein abundance,proteomics,mzML,true,1203840003,LC
syn794980783,cohort_methylation_array_000260.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,443073351,HSDOA
syn773685586,cohort_wgs_000261.fastq.gz,variant calls,WGS,FASTQ,true,29596333853,LG
syn409455801,cohort_wgs_000262.vcf.gz,variant calls,WGS,VCF,true,132322890394,ILO
syn520509989,cohort_wgs_000263.vcf.gz,variant calls,WGS,VCF,true,70367075460,ASDOEL
syn424564899,cohort_methylation_array_000264.idat,DNA methylation,methylation array,IDAT,true,628384142,ILO
syn644831336,cohort_methylation_array_000265.idat,DNA methylation,methylation array,IDAT,true,218337739,HSDOA
syn481011186,cohort_methylation_array_000266.idat,DNA methylation,methylation array,IDAT,true,654063559,LG
syn73458162,cohort_wgs_000267.fastq.gz,variant calls,WGS,FASTQ,true,25504967243,LG
syn921415171,cohort_methylation_array_000268.idat,DNA methylation,methylation array,IDAT,true,570018480,ASDOEL
syn892678670,cohort_metabolomics_000269.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,780049188,LC
syn655407424,cohort_wes_000270.vcf.gz,variant calls,WES,VCF,true,7112691924,ILO
syn374404333,cohort_rnaseq_000271.bam,gene expression,RNAseq,BAM,true,4742451370,LC
syn71893893,cohort_wgs_000272.vcf.gz,variant calls,WGS,VCF,true,27904344461,LG
syn70200925,cohort_wgs_000273.cram,variant calls,WGS,CRAM,true,49503589422,LG
